Employee_ID,First_Name,Last_Name,Age,Department_Region,Status,Join_Date,Salary,Email,Performance_Score,Remote_Work
EMP1036,Alice,Brown,30.0,Cloud Tech-New York,Active,2023-05-03,54757.26,alice.brown@example.com,Poor,False
EMP1037,Grace,Smith,25.0,Sales-New York,Pending,2023-05-02,52781.92,grace.smith@example.com,Average,True
EMP1038,Frank,Smith,35.0,Admin-Nevada,Pending,2021-10-05,66708.02,frank.smith@example.com,Good,True
EMP1039,Eva,Williams,40.0,HR-Texas,Active,2022-07-27,93481.15,eva.williams@example.com,Poor,False
EMP1040,Bob,Williams,25.0,Sales-New York,Pending,2021-06-27,59271.96,bob.williams@example.com,Excellent,True
EMP1041,Bob,Davis,30.0,HR-California,Active,2022-06-16,108362.15,bob.davis@example.com,Excellent,False
EMP1042,Alice,Johnson,30.0,HR-Nevada,Active,2024-12-03,59400.38,alice.johnson@example.com,Average,True
EMP1043,Bob,Garcia,30.0,Admin-California,Inactive,2023-05-23,64744.08,bob.garcia@example.com,Excellent,False
EMP1044,Eva,Brown,30.0,Finance-California,Active,2020-07-08,94399.91,eva.brown@example.com,Good,True
EMP1045,Alice,Brown,25.0,HR-New York,Pending,2021-06-20,61310.74,alice.brown@example.com,Average,True
EMP1046,Grace,Garcia,30.0,Cloud Tech-Texas,Active,2024-12-13,98371.37,grace.garcia@example.com,Excellent,False
EMP1047,Alice,Davis,35.0,Sales-Illinois,Active,2022-05-30,58921.19,alice.davis@example.com,Average,True
EMP1048,Alice,Miller,35.0,Admin-Nevada,Active,2023-09-27,57195.55,alice.miller@example.com,Excellent,False
EMP1049,Grace,Miller,30.0,DevOps-New York,Active,2024-11-05,61375.12,grace.miller@example.com,Excellent,True
EMP1050,Charlie,Davis,40.0,Cloud Tech-New York,Pending,2021-11-11,104767.05,charlie.davis@example.com,Excellent,False
EMP1051,David,Miller,35.0,Admin-Nevada,Active,2022-02-22,111051.67,david.miller@example.com,Good,False
EMP1052,David,Williams,30.0,Finance-California,Inactive,2024-08-07,105674.18,david.williams@example.com,Good,False
EMP1053,Alice,Brown,30.0,Finance-California,Inactive,2024-11-05,54859.45,alice.brown@example.com,Average,False
EMP1054,Frank,Davis,30.0,Finance-Nevada,Pending,2021-11-09,115746.6,frank.davis@example.com,Excellent,True
EMP1055,Eva,Brown,30.0,Sales-California,Active,2020-08-10,91759.99,eva.brown@example.com,Excellent,True
EMP1056,Frank,Garcia,40.0,Sales-Illinois,Active,2022-02-27,112965.33,frank.garcia@example.com,Good,False
EMP1057,Alice,Smith,40.0,Cloud Tech-Illinois,Pending,2023-11-07,100360.1,alice.smith@example.com,Excellent,False
EMP1058,David,Williams,35.0,Finance-Texas,Pending,2021-11-07,93620.88,david.williams@example.com,Good,False
EMP1059,Bob,Jones,35.0,Sales-California,Pending,2022-04-16,72832.8,bob.jones@example.com,Excellent,True
EMP1060,Charlie,Williams,30.0,Finance-Nevada,Inactive,2023-10-19,102369.42,charlie.williams@example.com,Average,True
EMP1061,Eva,Davis,40.0,Sales-Texas,Inactive,2021-08-10,64712.79,eva.davis@example.com,Excellent,True
EMP1062,Frank,Jones,40.0,Finance-Florida,Pending,2021-03-13,85782.18,frank.jones@example.com,Excellent,True
EMP1063,Charlie,Smith,25.0,HR-Illinois,Pending,2023-07-20,93348.26,charlie.smith@example.com,Poor,False
EMP1064,David,Davis,35.0,Admin-New York,Active,2020-02-20,53234.96,david.davis@example.com,Good,False
EMP1065,Bob,Johnson,40.0,Finance-Nevada,Pending,2021-02-02,100284.21,bob.johnson@example.com,Excellent,False
EMP1066,Grace,Brown,30.0,Admin-Nevada,Pending,2020-01-12,112486.19,grace.brown@example.com,Excellent,True
EMP1067,Bob,Smith,40.0,Admin-New York,Pending,2022-11-26,82518.49,bob.smith@example.com,Poor,True
EMP1068,Bob,Brown,40.0,Admin-Florida,Pending,2022-12-23,119152.47,bob.brown@example.com,Poor,True
EMP1069,Heidi,Miller,30.0,DevOps-Illinois,Inactive,2024-08-28,113479.83,heidi.miller@example.com,Good,False
EMP1070,Charlie,Johnson,40.0,Finance-California,Active,2024-09-16,94636.3,charlie.johnson@example.com,Poor,False
EMP1071,Heidi,Johnson,30.0,HR-Florida,Active,2024-01-01,70000.97,heidi.johnson@example.com,Average,True
EMP1072,Frank,Smith,30.0,Cloud Tech-New York,Active,2021-04-18,76812.47,frank.smith@example.com,Poor,False
EMP1073,David,Johnson,25.0,Finance-Florida,Inactive,2023-01-16,82614.7,david.johnson@example.com,Average,True
EMP1074,Grace,Jones,40.0,Sales-Nevada,Active,2024-10-20,111645.97,grace.jones@example.com,Good,True
EMP1075,Heidi,Johnson,25.0,HR-California,Inactive,2024-10-13,112414.91,heidi.johnson@example.com,Good,False
EMP1076,David,Brown,40.0,Admin-California,Inactive,2022-09-21,52031.74,david.brown@example.com,Good,True
EMP1077,Grace,Brown,30.0,Finance-New York,Pending,2022-12-29,51887.65,grace.brown@example.com,Good,False
EMP1078,Alice,Davis,25.0,DevOps-Florida,Active,2024-11-10,82318.89,alice.davis@example.com,Good,True
EMP1079,Grace,Brown,35.0,Admin-Florida,Inactive,2021-11-22,103286.08,grace.brown@example.com,Average,False
EMP1080,Grace,Davis,35.0,Cloud Tech-Florida,Active,2024-03-14,87759.33,grace.davis@example.com,Average,False
EMP1081,Frank,Brown,30.0,DevOps-Texas,Pending,2020-03-23,102796.32,frank.brown@example.com,Good,False
EMP1082,David,Jones,25.0,Sales-New York,Active,2020-09-15,83149.27,david.jones@example.com,Poor,True
EMP1083,David,Garcia,40.0,DevOps-California,Inactive,2020-12-09,92412.49,david.garcia@example.com,Excellent,True
EMP1084,Bob,Davis,30.0,HR-Texas,Pending,2020-02-22,115022.1,bob.davis@example.com,Good,False
EMP1085,Grace,Williams,40.0,DevOps-New York,Active,2023-04-27,98343.01,grace.williams@example.com,Poor,False
EMP1086,Bob,Miller,35.0,DevOps-Illinois,Active,2024-06-18,118869.1,bob.miller@example.com,Excellent,True
EMP1087,Frank,Smith,30.0,Finance-Nevada,Inactive,2020-05-21,85417.26,frank.smith@example.com,Good,True
EMP1088,Grace,Brown,40.0,Cloud Tech-Florida,Inactive,2023-07-25,112410.25,grace.brown@example.com,Good,True
EMP1089,Charlie,Johnson,40.0,Admin-Nevada,Pending,2023-08-25,68905.77,charlie.johnson@example.com,Average,False
EMP1090,Heidi,Garcia,40.0,Finance-Nevada,Pending,2021-07-03,72561.32,heidi.garcia@example.com,Excellent,True
EMP1091,Bob,Brown,35.0,Finance-New York,Inactive,2023-03-13,92723.22,bob.brown@example.com,Excellent,True
EMP1092,Alice,Johnson,40.0,HR-New York,Inactive,2021-03-10,74837.75,alice.johnson@example.com,Poor,False
EMP1093,Eva,Miller,30.0,DevOps-California,Pending,2020-01-21,86163.91,eva.miller@example.com,Average,True
EMP1094,David,Miller,40.0,Finance-Illinois,Active,2023-11-15,83326.52,david.miller@example.com,Average,True
EMP1095,Heidi,Miller,25.0,Cloud Tech-California,Active,2022-04-08,98425.1,heidi.miller@example.com,Average,True
EMP1096,Frank,Johnson,40.0,Sales-Illinois,Inactive,2022-05-21,119764.2,frank.johnson@example.com,Average,False
EMP1097,Frank,Brown,40.0,HR-California,Inactive,2021-04-17,58445.91,frank.brown@example.com,Excellent,False
EMP1098,Bob,Miller,30.0,DevOps-New York,Active,2021-03-19,101702.33,bob.miller@example.com,Excellent,False
EMP1099,Eva,Jones,25.0,Admin-California,Active,2022-01-09,85547.87,eva.jones@example.com,Good,False
EMP1100,Charlie,Davis,35.0,Cloud Tech-Texas,Pending,2021-08-21,98819.22,charlie.davis@example.com,Good,False
EMP1101,Heidi,Johnson,25.0,Cloud Tech-Illinois,Inactive,2022-08-19,83509.99,heidi.johnson@example.com,Average,False
EMP1102,Alice,Johnson,35.0,Finance-Texas,Active,2022-03-31,84422.26,alice.johnson@example.com,Average,False
EMP1103,Alice,Brown,30.0,Admin-Illinois,Inactive,2020-06-23,119574.27,alice.brown@example.com,Average,True
EMP1104,Grace,Johnson,30.0,Sales-Illinois,Active,2024-05-07,86580.08,grace.johnson@example.com,Good,True
EMP1105,Heidi,Johnson,35.0,Sales-Florida,Inactive,2023-03-10,93471.91,heidi.johnson@example.com,Poor,False
EMP1106,Bob,Miller,30.0,DevOps-New York,Inactive,2023-09-14,55683.12,bob.miller@example.com,Poor,True
EMP1107,Bob,Brown,30.0,Cloud Tech-Florida,Inactive,2023-11-12,91566.78,bob.brown@example.com,Good,True
EMP1108,David,Miller,35.0,DevOps-California,Pending,2024-10-26,81782.19,david.miller@example.com,Good,False
EMP1109,Eva,Davis,30.0,DevOps-New York,Inactive,2020-08-23,88119.37,eva.davis@example.com,Good,True
EMP1110,Eva,Garcia,30.0,Cloud Tech-Texas,Active,2024-06-11,71532.83,eva.garcia@example.com,Good,True
EMP1111,Eva,Davis,40.0,Cloud Tech-Florida,Pending,2021-09-14,98981.36,eva.davis@example.com,Good,True
EMP1112,Heidi,Garcia,40.0,Cloud Tech-Illinois,Active,2024-12-26,80242.01,heidi.garcia@example.com,Good,True
EMP1113,Eva,Miller,25.0,Cloud Tech-New York,Pending,2024-09-08,110236.18,eva.miller@example.com,Average,True
EMP1114,Alice,Davis,35.0,Sales-Texas,Active,2022-08-21,86327.47,alice.davis@example.com,Average,False
EMP1115,Eva,Brown,30.0,Sales-Florida,Pending,2024-07-25,84420.81,eva.brown@example.com,Average,False
EMP1116,Frank,Smith,40.0,HR-California,Pending,2020-08-02,110041.32,frank.smith@example.com,Average,False
EMP1117,Heidi,Miller,35.0,DevOps-Florida,Pending,2020-03-16,81837.81,heidi.miller@example.com,Good,True
EMP1118,Frank,Garcia,25.0,Finance-Illinois,Active,2023-09-08,110855.72,frank.garcia@example.com,Poor,False
EMP1119,Alice,Jones,30.0,Sales-California,Pending,2024-03-29,84894.52,alice.jones@example.com,Excellent,True
EMP1120,Alice,Garcia,30.0,HR-Illinois,Active,2021-08-12,80668.13,alice.garcia@example.com,Good,True
EMP1121,Bob,Jones,25.0,DevOps-Illinois,Active,2023-12-24,61086.47,bob.jones@example.com,Excellent,True
EMP1122,Grace,Johnson,25.0,Admin-Texas,Inactive,2020-08-28,95339.68,grace.johnson@example.com,Poor,True
EMP1123,Eva,Davis,30.0,DevOps-California,Inactive,2024-09-05,83774.97,eva.davis@example.com,Average,False
EMP1124,Heidi,Jones,30.0,Admin-Florida,Active,2023-05-12,85576.86,heidi.jones@example.com,Poor,False
EMP1125,Bob,Garcia,35.0,Finance-California,Pending,2021-07-01,107438.46,bob.garcia@example.com,Good,True
EMP1126,Eva,Johnson,30.0,Sales-Nevada,Inactive,2024-11-07,60401.68,eva.johnson@example.com,Average,False
EMP1127,Frank,Smith,35.0,Sales-Illinois,Inactive,2022-07-21,115299.66,frank.smith@example.com,Good,True
EMP1128,David,Brown,30.0,Finance-New York,Inactive,2020-03-30,72272.34,david.brown@example.com,Average,False
EMP1129,Grace,Brown,40.0,DevOps-Nevada,Active,2022-10-11,117537.71,grace.brown@example.com,Excellent,False
EMP1130,Frank,Brown,25.0,Finance-Texas,Pending,2022-07-24,51074.33,frank.brown@example.com,Excellent,True
EMP1131,Charlie,Jones,25.0,Finance-California,Inactive,2023-06-30,98489.32,charlie.jones@example.com,Excellent,False
EMP1132,Frank,Smith,30.0,Finance-California,Pending,2024-01-11,112120.71,frank.smith@example.com,Poor,True
EMP1133,Alice,Jones,30.0,Cloud Tech-New York,Pending,2023-11-02,114465.04,alice.jones@example.com,Good,False
EMP1134,Bob,Davis,40.0,Cloud Tech-Nevada,Pending,2024-11-22,57035.51,bob.davis@example.com,Poor,True
EMP1135,Eva,Jones,25.0,Cloud Tech-California,Active,2021-08-23,75092.43,eva.jones@example.com,Excellent,True
EMP1136,David,Smith,30.0,Finance-Illinois,Pending,2024-06-11,62603.98,david.smith@example.com,Good,False
EMP1137,Grace,Smith,30.0,DevOps-New York,Inactive,2023-04-09,60018.24,grace.smith@example.com,Excellent,False
EMP1138,Eva,Davis,40.0,HR-Nevada,Active,2024-07-05,82567.73,eva.davis@example.com,Poor,True
EMP1139,Charlie,Smith,25.0,Finance-California,Pending,2021-09-04,94725.71,charlie.smith@example.com,Poor,False
EMP1140,Eva,Garcia,40.0,HR-New York,Inactive,2024-10-13,83824.56,eva.garcia@example.com,Poor,False
EMP1141,Frank,Smith,30.0,HR-Nevada,Inactive,2020-02-14,118456.11,frank.smith@example.com,Excellent,True
EMP1142,Eva,Brown,25.0,Sales-Nevada,Pending,2020-04-10,113743.19,eva.brown@example.com,Good,True
EMP1143,Eva,Garcia,30.0,Sales-California,Active,2023-07-27,63309.24,eva.garcia@example.com,Good,False
EMP1144,Charlie,Garcia,25.0,DevOps-Nevada,Active,2021-09-24,105202.73,charlie.garcia@example.com,Excellent,True
EMP1145,Frank,Davis,30.0,Cloud Tech-California,Inactive,2024-03-10,79085.22,frank.davis@example.com,Good,True
EMP1146,Frank,Williams,30.0,Sales-California,Active,2021-06-10,113983.43,frank.williams@example.com,Excellent,True
EMP1147,Eva,Williams,35.0,Cloud Tech-Florida,Active,2020-10-15,102790.6,eva.williams@example.com,Good,False
EMP1148,Grace,Smith,30.0,HR-Texas,Inactive,2020-01-29,68512.1,grace.smith@example.com,Average,False
EMP1149,Frank,Garcia,35.0,Sales-Florida,Pending,2022-01-30,57584.23,frank.garcia@example.com,Average,True
EMP1150,Alice,Williams,30.0,Sales-California,Pending,2021-03-29,95335.67,alice.williams@example.com,Poor,False
EMP1151,Heidi,Williams,35.0,DevOps-Florida,Active,2020-10-13,53174.28,heidi.williams@example.com,Average,True
EMP1152,Heidi,Smith,25.0,Cloud Tech-New York,Pending,2020-10-04,77205.21,heidi.smith@example.com,Average,False
EMP1153,Grace,Williams,30.0,DevOps-Nevada,Active,2024-12-18,79041.92,grace.williams@example.com,Average,True
EMP1154,Heidi,Jones,30.0,Finance-California,Active,2023-11-14,75937.1,heidi.jones@example.com,Excellent,True
EMP1155,David,Johnson,35.0,Cloud Tech-Nevada,Inactive,2023-01-20,113118.73,david.johnson@example.com,Average,False
EMP1156,Alice,Davis,40.0,HR-New York,Active,2024-10-02,107693.38,alice.davis@example.com,Average,True
EMP1157,David,Johnson,30.0,Cloud Tech-Texas,Inactive,2021-05-13,119217.46,david.johnson@example.com,Poor,False
EMP1158,David,Smith,25.0,Sales-New York,Pending,2021-03-18,106913.71,david.smith@example.com,Average,False
EMP1159,Charlie,Brown,30.0,Cloud Tech-California,Active,2020-09-23,87815.08,charlie.brown@example.com,Average,True
EMP1160,Bob,Davis,25.0,Admin-Texas,Inactive,2024-06-05,105190.21,bob.davis@example.com,Good,True
EMP1161,Alice,Smith,30.0,HR-Texas,Active,2024-02-28,79467.24,alice.smith@example.com,Poor,False
EMP1162,Bob,Garcia,40.0,Finance-California,Pending,2023-04-30,57633.78,bob.garcia@example.com,Poor,True
EMP1163,Alice,Brown,30.0,HR-Florida,Pending,2020-03-04,54257.78,alice.brown@example.com,Poor,True
EMP1164,Grace,Johnson,40.0,DevOps-Texas,Inactive,2023-12-29,113679.06,grace.johnson@example.com,Poor,True
EMP1165,Bob,Smith,35.0,Sales-New York,Active,2020-09-15,69251.12,bob.smith@example.com,Poor,True
EMP1166,Frank,Garcia,40.0,Sales-Illinois,Inactive,2022-07-18,85388.58,frank.garcia@example.com,Poor,True
EMP1167,Bob,Davis,30.0,DevOps-New York,Inactive,2022-07-13,112166.37,bob.davis@example.com,Excellent,False
EMP1168,Heidi,Davis,40.0,Finance-Nevada,Active,2021-10-02,79873.48,heidi.davis@example.com,Average,False
EMP1169,Frank,Miller,30.0,DevOps-Florida,Active,2020-07-05,108224.03,frank.miller@example.com,Poor,True
EMP1170,Bob,Garcia,35.0,Admin-Illinois,Active,2023-04-16,116963.72,bob.garcia@example.com,Average,True
EMP1171,Bob,Jones,40.0,HR-Nevada,Inactive,2024-11-12,114109.06,bob.jones@example.com,Average,True
EMP1172,Eva,Williams,30.0,HR-California,Active,2023-03-29,85518.88,eva.williams@example.com,Excellent,False
EMP1173,Heidi,Brown,30.0,Cloud Tech-California,Pending,2022-01-22,58041.97,heidi.brown@example.com,Poor,True
EMP1174,David,Garcia,40.0,Sales-Illinois,Pending,2023-10-14,94988.94,david.garcia@example.com,Good,False
EMP1175,Eva,Miller,25.0,Admin-California,Pending,2024-04-10,71628.93,eva.miller@example.com,Excellent,False
EMP1176,Alice,Williams,30.0,Admin-Illinois,Pending,2022-03-31,54870.98,alice.williams@example.com,Good,False
EMP1177,Alice,Williams,25.0,DevOps-Illinois,Active,2022-02-09,79388.27,alice.williams@example.com,Average,True
EMP1178,Frank,Smith,35.0,DevOps-California,Pending,2023-05-06,55946.99,frank.smith@example.com,Average,False
EMP1179,Charlie,Williams,30.0,Cloud Tech-Nevada,Active,2021-07-11,81017.91,charlie.williams@example.com,Excellent,True
EMP1180,Heidi,Jones,40.0,HR-New York,Pending,2020-08-21,74162.1,heidi.jones@example.com,Excellent,False
EMP1181,Heidi,Davis,30.0,DevOps-California,Active,2021-03-27,77668.44,heidi.davis@example.com,Good,True
EMP1182,Alice,Miller,30.0,HR-New York,Active,2024-04-14,67886.37,alice.miller@example.com,Poor,False
EMP1183,Alice,Williams,40.0,DevOps-Florida,Active,2020-09-21,76614.52,alice.williams@example.com,Good,True
EMP1184,Frank,Smith,25.0,Finance-Nevada,Active,2022-06-12,51311.91,frank.smith@example.com,Excellent,False
EMP1185,Frank,Jones,30.0,Finance-Illinois,Inactive,2023-12-24,94809.92,frank.jones@example.com,Good,True
EMP1186,Grace,Johnson,25.0,HR-New York,Pending,2022-07-31,108241.81,grace.johnson@example.com,Excellent,True
EMP1187,Bob,Davis,40.0,Cloud Tech-New York,Inactive,2023-04-21,78031.49,bob.davis@example.com,Good,True
EMP1188,Eva,Davis,35.0,Admin-California,Active,2020-06-05,85733.83,eva.davis@example.com,Excellent,True
EMP1189,David,Miller,35.0,HR-Nevada,Pending,2024-07-27,60338.29,david.miller@example.com,Excellent,False
EMP1190,Eva,Davis,30.0,Admin-Illinois,Active,2024-04-05,103140.67,eva.davis@example.com,Excellent,False
EMP1191,Heidi,Williams,40.0,Sales-Illinois,Inactive,2023-10-26,114690.8,heidi.williams@example.com,Poor,True
EMP1192,Frank,Smith,35.0,Admin-Florida,Active,2022-08-18,80954.56,frank.smith@example.com,Good,False
EMP1193,Eva,Davis,30.0,Cloud Tech-California,Pending,2020-05-31,71728.55,eva.davis@example.com,Good,True
EMP1194,Alice,Davis,35.0,HR-Texas,Pending,2024-11-04,118415.8,alice.davis@example.com,Good,True
EMP1195,Grace,Johnson,40.0,Sales-Illinois,Pending,2020-03-25,81481.36,grace.johnson@example.com,Excellent,False
EMP1196,David,Johnson,35.0,Sales-Florida,Pending,2020-11-04,117040.57,david.johnson@example.com,Good,True
EMP1197,Frank,Brown,25.0,Sales-Nevada,Active,2020-03-21,67342.06,frank.brown@example.com,Good,True
EMP1198,Heidi,Jones,30.0,Sales-Illinois,Active,2022-01-15,76099.64,heidi.jones@example.com,Excellent,False
EMP1199,Grace,Williams,35.0,DevOps-Illinois,Active,2024-06-04,94162.06,grace.williams@example.com,Average,True
EMP1200,Frank,Davis,25.0,Sales-Nevada,Inactive,2021-08-04,67639.7,frank.davis@example.com,Excellent,True
EMP1201,Charlie,Garcia,35.0,Cloud Tech-Illinois,Pending,2020-10-16,114172.25,charlie.garcia@example.com,Good,True
EMP1202,Grace,Davis,30.0,Sales-Nevada,Active,2021-09-26,89124.54,grace.davis@example.com,Excellent,True
EMP1203,Frank,Smith,30.0,DevOps-Nevada,Pending,2023-11-04,113871.36,frank.smith@example.com,Average,False
EMP1204,Grace,Brown,30.0,HR-Texas,Inactive,2021-09-24,62618.4,grace.brown@example.com,Excellent,False
EMP1205,Heidi,Jones,30.0,Admin-New York,Active,2020-06-07,70705.45,heidi.jones@example.com,Good,False
EMP1206,Alice,Garcia,35.0,Sales-New York,Pending,2022-02-10,60797.69,alice.garcia@example.com,Average,True
EMP1207,Charlie,Brown,40.0,Cloud Tech-Florida,Inactive,2023-10-17,100371.0,charlie.brown@example.com,Poor,True
EMP1208,Eva,Miller,40.0,Admin-Illinois,Active,2021-09-25,117591.76,eva.miller@example.com,Good,False
EMP1209,David,Jones,35.0,DevOps-Illinois,Inactive,2022-08-03,103860.7,david.jones@example.com,Average,True
EMP1210,Grace,Davis,30.0,Admin-Illinois,Active,2024-11-22,67500.22,grace.davis@example.com,Average,True
EMP1211,Frank,Davis,30.0,Cloud Tech-Nevada,Pending,2024-10-09,58727.44,frank.davis@example.com,Poor,True
EMP1212,Charlie,Jones,35.0,Finance-Illinois,Active,2024-08-28,80623.08,charlie.jones@example.com,Excellent,True
EMP1213,David,Davis,40.0,HR-Texas,Inactive,2020-04-19,77751.78,david.davis@example.com,Excellent,False
EMP1214,Grace,Williams,25.0,HR-New York,Active,2021-10-14,115157.81,grace.williams@example.com,Good,False
EMP1215,Frank,Jones,30.0,Admin-Texas,Inactive,2024-08-26,83071.85,frank.jones@example.com,Poor,False
EMP1216,Heidi,Brown,40.0,Sales-Texas,Active,2020-02-08,67914.67,heidi.brown@example.com,Excellent,True
EMP1217,Grace,Jones,25.0,HR-New York,Inactive,2020-09-06,53342.46,grace.jones@example.com,Poor,False
EMP1218,Heidi,Garcia,25.0,Cloud Tech-Florida,Pending,2023-01-02,51150.47,heidi.garcia@example.com,Excellent,False
EMP1219,David,Davis,30.0,HR-Florida,Active,2023-06-13,74697.12,david.davis@example.com,Average,True
EMP1220,Charlie,Williams,25.0,Sales-California,Active,2022-12-13,88085.74,charlie.williams@example.com,Excellent,True
EMP1221,Alice,Williams,40.0,Finance-Texas,Pending,2022-03-03,118672.76,alice.williams@example.com,Poor,False
EMP1222,Alice,Miller,35.0,Cloud Tech-California,Active,2024-02-10,95997.31,alice.miller@example.com,Average,False
EMP1223,Frank,Brown,30.0,Cloud Tech-California,Pending,2021-11-24,106945.62,frank.brown@example.com,Average,False
EMP1224,Heidi,Johnson,40.0,DevOps-New York,Active,2020-05-09,100123.15,heidi.johnson@example.com,Average,False
EMP1225,Alice,Johnson,35.0,Admin-Texas,Active,2024-12-19,52933.42,alice.johnson@example.com,Poor,True
EMP1226,Grace,Jones,30.0,Finance-California,Active,2024-03-22,95283.03,grace.jones@example.com,Good,False
EMP1227,Alice,Miller,35.0,HR-Texas,Inactive,2022-06-13,112264.06,alice.miller@example.com,Good,False
EMP1228,Grace,Smith,35.0,Admin-Florida,Pending,2022-10-15,75714.28,grace.smith@example.com,Good,True
EMP1229,Eva,Jones,25.0,DevOps-Florida,Active,2022-05-31,92171.73,eva.jones@example.com,Poor,False
EMP1230,Eva,Miller,35.0,Cloud Tech-Texas,Inactive,2023-09-15,70694.8,eva.miller@example.com,Average,True
EMP1231,Grace,Brown,30.0,DevOps-Florida,Inactive,2022-07-04,52964.86,grace.brown@example.com,Good,True
EMP1232,Frank,Brown,30.0,Finance-California,Pending,2024-06-08,116353.31,frank.brown@example.com,Poor,True
EMP1233,Grace,Brown,35.0,Sales-Nevada,Pending,2020-11-23,116695.26,grace.brown@example.com,Good,False
EMP1234,Heidi,Brown,25.0,Admin-Texas,Active,2024-05-13,95161.4,heidi.brown@example.com,Excellent,False
EMP1235,Alice,Brown,30.0,Admin-Nevada,Inactive,2022-01-29,76040.94,alice.brown@example.com,Good,True
